BUILDING_NO,STREET,BOROUGH,ZIP,BLOCK,LOT,COUNTY,CITY,STATUS1,STATUS2,STATUS3,LATITUDE,LONGITUDE
246,10th Avenue,Manhattan,10001,722,3,62,NEW YORK,MULTIPLE DWELLING A,,,40.748554,-74.003533
299,10th Avenue,Manhattan,10001,699,31,62,NEW YORK,MULTIPLE DWELLING A,,,40.750368,-74.00223
301,10th Avenue,Manhattan,10001,699,32,62,NEW YORK,MULTIPLE DWELLING A,,,40.750432,-74.002184
303 TO 309,10th Avenue,Manhattan,10001,699,33,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,40.750492,-74.00214
440,10th Avenue,Manhattan,10001,732,73,62,NEW YORK,MULTIPLE DWELLING A,,,40.754977,-73.998849
442,10th Avenue,Manhattan,10001,732,72,62,NEW YORK,MULTIPLE DWELLING A,,,40.755018,-73.998816
311,11th Avenue,Manhattan,10001,675,12,62,NEW YORK,MULTIPLE DWELLING A,421-A (16),,40.753012,-74.004017
312,11th Avenue,Manhattan,10001,701,62,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,40.753042,-74.00397
320,11th Avenue,Manhattan,10001,702,7502,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,40.753442,-74.003678
545 TO 577,West 30th Street,Manhattan,10001,702,7502,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,40.753017,-74.003227
800 TO 802,6th Avenue,Manhattan,10001,829,1,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,40.745342,-73.990487
819,6th Avenue,Manhattan,10001,804,36,62,NEW YORK,MULTIPLE DWELLING B,,,40.746281,-73.990353
819,Avenue Of The Americas,Manhattan,10001,804,36,62,NEW YORK,MULTIPLE DWELLING B,,,40.746281,-73.990353
835 TO 851,6th Avenue,Manhattan,10001,805,7502,62,NEW YORK,MULTIPLE DWELLING A,,,40.746805,-73.989974
855,6th Avenue,Manhattan,10001,806,7502,62,NEW YORK,MULTIPLE DWELLING A,421-A (16),,40.747431,-73.989519
100,West 31st Street,Manhattan,10001,806,7502,62,NEW YORK,MULTIPLE DWELLING A,421-A (16),,40.748068,-73.989595
883 TO 885,6th Avenue,Manhattan,10001,807,7502,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,40.74815,-73.988992
315,7th Avenue,Manhattan,10001,803,7501,62,NEW YORK,MULTIPLE DWELLING A,,,40.747086,-73.993457
288,8th Avenue,Manhattan,10001,774,86,62,NEW YORK,MULTIPLE DWELLING A,,,40.746262,-73.99777
328,8th Avenue,Manhattan,10001,776,4,62,NEW YORK,MULTIPLE DWELLING A,,,40.747459,-73.996903
330,8th Avenue,Manhattan,10001,776,4,62,NEW YORK,MULTIPLE DWELLING A,,,40.747511,-73.996864
368,8th Avenue,Manhattan,10001,778,3,62,NEW YORK,MULTIPLE DWELLING B,,,40.748716,-73.995979
370,8th Avenue,Manhattan,10001,778,75,62,NEW YORK,MULTIPLE DWELLING B,HOTEL,ROOMING HOUSE,40.748765,-73.995947
402,8th Avenue,Manhattan,10001,780,1,62,NEW YORK,MULTIPLE DWELLING A,,,40.749762,-73.995221
404,8th Avenue,Manhattan,10001,780,2,62,NEW YORK,MULTIPLE DWELLING A,,,40.749814,-73.995182
481,8th Avenue,Manhattan,10001,758,37,62,NEW YORK,MULTIPLE DWELLING B,HOTEL,,40.752295,-73.993402
235,9th Avenue,Manhattan,10001,722,40,62,NEW YORK,MULTIPLE DWELLING A,,,40.747475,-74.000621
237,9th Avenue,Manhattan,10001,722,41,62,NEW YORK,MULTIPLE DWELLING A,,,40.747517,-74.000592
239,9th Avenue,Manhattan,10001,722,42,62,NEW YORK,MULTIPLE DWELLING A,,,40.747558,-74.000563
413,9th Avenue,Manhattan,10001,731,40,62,NEW YORK,MULTIPLE DWELLING A,,,40.752874,-73.99669
415 TO 417,9th Avenue,Manhattan,10001,731,41,62,NEW YORK,MULTIPLE DWELLING A,,,40.752921,-73.996658
1186,Broadway,Manhattan,10001,830,54,62,NEW YORK,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,40.745608,-73.988661
1234,Broadway,Manhattan,10001,832,66,62,NEW YORK,MULTIPLE DWELLING B,HOTEL,ROOMING HOUSE,40.747307,-73.988339
38,West 31st Street,Manhattan,10001,832,66,62,NEW YORK,MULTIPLE DWELLING B,HOTEL,ROOMING HOUSE,40.747252,-73.987661
226,West 25th Street,Manhattan,10001,774,55,62,NEW YORK,MULTIPLE DWELLING A,,,40.745779,-73.995669
228,West 25th Street,Manhattan,10001,774,56,62,NEW YORK,MULTIPLE DWELLING A,,,40.745796,-73.995709
231,West 25th Street,Manhattan,10001,775,17,62,NEW YORK,MULTIPLE DWELLING A,,,40.745829,-73.995741
245,West 25th Street,Manhattan,10001,775,9,62,NEW YORK,MULTIPLE DWELLING A,GARDEN COMPLEX,,40.745947,-73.996027
270,West 25th Street,Manhattan,10001,774,76,62,NEW YORK,MULTIPLE DWELLING A,,,40.746155,-73.996564
401,West 25th Street,Manhattan,10001,723,7502,62,NEW YORK,MULTIPLE DWELLING A,421-A (1-15),,40.74781,-74.000469
