BUILDING_NO,STREET,BOROUGH,ZIP,BLOCK,LOT,COUNTY,CITY,STATUS1,STATUS2,STATUS3,LATITUDE,LONGITUDE
436,Albee Square,Brooklyn,11201,146,48,61,BROOKLYN,MULTIPLE DWELLING A,,,40.690803,-73.983478
131,Amity Street,Brooklyn,11201,291,45,61,BROOKLYN,MULTIPLE DWELLING A,,,40.689237,-73.996131
138,Amity Street,Brooklyn,11201,296,19,61,BROOKLYN,MULTIPLE DWELLING A,,,40.689105,-73.99572
141,Amity Street,Brooklyn,11201,291,40,61,BROOKLYN,MULTIPLE DWELLING A,,,40.689157,-73.995846
145,Amity Street,Brooklyn,11201,291,38,61,BROOKLYN,MULTIPLE DWELLING A,,,40.689127,-73.995734
147,Amity Street,Brooklyn,11201,291,37,61,BROOKLYN,MULTIPLE DWELLING A,,,40.689111,-73.995677
153,Amity Street,Brooklyn,11201,291,34,61,BROOKLYN,MULTIPLE DWELLING B,ROOMING HOUSE,,40.689064,-73.995503
155,Amity Street,Brooklyn,11201,291,33,61,BROOKLYN,MULTIPLE DWELLING A,,,40.689048,-73.995449
174,Amity Street,Brooklyn,11201,297,15,61,BROOKLYN,MULTIPLE DWELLING A,,,40.68865,-73.994072
176,Amity Street,Brooklyn,11201,297,16,61,BROOKLYN,MULTIPLE DWELLING A,,,40.688633,-73.994007
177,Amity Street,Brooklyn,11201,292,49,61,BROOKLYN,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,40.688729,-73.994292
181,Amity Street,Brooklyn,11201,292,47,61,BROOKLYN,MULTIPLE DWELLING A,,,40.688696,-73.994177
184,Amity Street,Brooklyn,11201,297,19,61,BROOKLYN,MULTIPLE DWELLING A,,,40.688562,-73.993755
186,Amity Street,Brooklyn,11201,297,19,61,BROOKLYN,MULTIPLE DWELLING A,,,40.688545,-73.99369
188,Amity Street,Brooklyn,11201,297,19,61,BROOKLYN,MULTIPLE DWELLING A,,,40.688526,-73.993625
122,Ashland Place,Brooklyn,11201,2061,40,61,BROOKLYN,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,40.692463,-73.979034
85,Atlantic Avenue,Brooklyn,11201,274,16,61,BROOKLYN,MULTIPLE DWELLING A,,,40.691079,-73.997328
88,Atlantic Avenue,Brooklyn,11201,284,13,61,BROOKLYN,MULTIPLE DWELLING A,,,40.690983,-73.997058
90,Atlantic Avenue,Brooklyn,11201,284,15,61,BROOKLYN,MULTIPLE DWELLING A,,,40.690969,-73.997003
93,Atlantic Avenue,Brooklyn,11201,274,13,61,BROOKLYN,MULTIPLE DWELLING A,,,40.691021,-73.997122
94 TO 106,Atlantic Avenue,Brooklyn,11201,284,17,61,BROOKLYN,MULTIPLE DWELLING A,J-51,,40.690939,-73.996895
99,Atlantic Avenue,Brooklyn,11201,274,11,61,BROOKLYN,MULTIPLE DWELLING A,,,40.690977,-73.996971
120 TO 122,Atlantic Avenue,Brooklyn,11201,285,10,61,BROOKLYN,MULTIPLE DWELLING A,,,40.690607,-73.995716
148,Atlantic Avenue,Brooklyn,11201,285,23,61,BROOKLYN,MULTIPLE DWELLING A,,,40.690376,-73.994883
154,Atlantic Avenue,Brooklyn,11201,285,26,61,BROOKLYN,MULTIPLE DWELLING A,,,40.690327,-73.994706
164 TO 168,Atlantic Avenue,Brooklyn,11201,286,8,61,BROOKLYN,MULTIPLE DWELLING A,J-51,,40.690102,-73.993888
182 TO 200,Atlantic Avenue,Brooklyn,11201,286,7505,61,BROOKLYN,MULTIPLE DWELLING A,421-A (1-15),,40.689956,-73.993365
189 TO 191,Atlantic Avenue,Brooklyn,11201,276,7,61,BROOKLYN,MULTIPLE DWELLING A,,,40.689973,-73.993358
224,Atlantic Avenue,Brooklyn,11201,278,26,61,BROOKLYN,MULTIPLE DWELLING A,,,40.689451,-73.991678
284,Atlantic Avenue,Brooklyn,11201,181,22,61,BROOKLYN,MULTIPLE DWELLING A,,,40.688745,-73.989576
288,Atlantic Avenue,Brooklyn,11201,181,24,61,BROOKLYN,MULTIPLE DWELLING A,,,40.688707,-73.98946
302,Atlantic Avenue,Brooklyn,11201,182,6,61,BROOKLYN,MULTIPLE DWELLING A,,,40.688372,-73.988566
304 TO 306,Atlantic Avenue,Brooklyn,11201,182,7,61,BROOKLYN,MULTIPLE DWELLING A,,,40.688353,-73.988512
307,Atlantic Avenue,Brooklyn,11201,176,49,61,BROOKLYN,MULTIPLE DWELLING A,421-A (1-15),,40.688339,-73.988429
325 TO 327,Atlantic Avenue,Brooklyn,11201,176,41,61,BROOKLYN,MULTIPLE DWELLING A,,,40.688133,-73.987906
96,Baltic Street,Brooklyn,11201,309,13,61,BROOKLYN,MULTIPLE DWELLING A,,,40.688211,-74.00048
98,Baltic Street,Brooklyn,11201,309,14,61,BROOKLYN,MULTIPLE DWELLING A,,,40.688197,-74.000429
108,Baltic Street,Brooklyn,11201,309,19,61,BROOKLYN,MULTIPLE DWELLING A,,,40.688115,-74.000184
110,Baltic Street,Brooklyn,11201,309,20,61,BROOKLYN,MULTIPLE DWELLING A,,,40.688098,-74.000137
129 TO 135,Baltic Street,Brooklyn,11201,305,7501,61,BROOKLYN,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,40.687766,-73.999084
134 TO 138,Baltic Street,Brooklyn,11201,310,3,61,BROOKLYN,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,40.687714,-73.998983
151,Baltic Street,Brooklyn,11201,305,34,61,BROOKLYN,MULTIPLE DWELLING A,,,40.687522,-73.998341
